"ms_id","pr_id","files","confFiles","chunks","confChunks","devs","code_churn","confCodeChurn","complexity","integrator.knew","formatting","merge.time.diff"
1972,28,130,1,494,1,1,6761,5,2,100,0,139
3544,28,6,1,38,1,3,61,5,2,100,0,428
83267,28,33,3,135,4,3,381,27,8,100,0,31398
83273,28,53,1,522,1,19,2545,9,2,100,0,658
89245,28,11,2,40,2,3,7119,10,4,100,0,986
141789,28,3,1,25,1,5,46,11,2,100,0,67113
141802,28,19,2,487,2,3,2417,24,4,100,0,417
141840,28,8,1,52,2,3,3218,13,4,100,0,79623
2502,26,13,3,73,3,7,1738,1586,6,66.6666666666667,0,185
2573,26,45,1,255,1,2,1366,779,2,100,0,94
7290,26,19,3,43,5,4,105,31,10,100,0,2924
9852,10,6,2,23,2,7,192,49,4,100,0,44129
10092,10,8,1,27,2,8,267,50,4,100,0,164565
90422,10,1,1,11,5,3,155,49,10,100,0,45867805
90493,10,54,1,106,1,24,1280,61,2,100,0,56801
1718,1,4,1,12,1,3,103,7,2,100,0,520
1825,1,7,1,41,1,4,167,12,2,100,0,409
2689,1,6,2,39,2,3,307,52,5,100,0,4921
2974,1,6,1,40,1,2,1494,84,2,100,0,5247
3070,1,6,1,92,1,1,1412,16,2,100,0,46
3478,1,6,1,10,1,1,1728,6,2,100,0,310
5087,1,286,2,388,9,5,193546,80,18,55.5555555555556,0,18795
5332,1,9,1,32,1,1,776,5,2,100,0,98
9390,1,18,1,137,1,4,3151,7,2,100,0,357
11111,1,118,2,930,3,5,59766,24,6,100,0,1052
12384,1,22,1,28,2,2,366,16,4,100,0,63
13675,1,25,2,134,3,5,688,28,6,100,0,794
13848,1,19,1,99,1,3,1042,5,2,100,0,2007
17024,1,1,1,67,27,1,1492,1201,54,100,0,84084
17031,1,1,1,17,14,2,73,70,28,100,0,103
17056,1,66,1,399,41,4,12357,485,82,100,21.9512195121951,259
17097,1,37,1,130,10,2,919,146,20,100,0,15561
19372,1,39,1,740,1,12,3471,8,2,100,0,518
51438,1,30,1,203,1,20,342,10,2,100,0,11746
100630,1,112,1,627,3,31,42016,130,7,100,0,1571
